"region","grupa","koef_zaetost","godina"
"Югоизточен","myzhe",61.5,"2013"
"Бургас","myzhe",63.4,"2013"
"Сливен","myzhe",55,"2013"
"Стара Загора","myzhe",62.6,"2013"
"Ямбол","myzhe",62.1,"2013"
"Югозападен","myzhe",67.3,"2013"
"Благоевград","myzhe",63.7,"2013"
"Кюстендил","myzhe",55.7,"2013"
"Перник","myzhe",62.5,"2013"
"София","myzhe",65,"2013"
"София (столица)","myzhe",70.1,"2013"
"Южен централен","myzhe",61.2,"2013"
"Кърджали","myzhe",59.7,"2013"
"Пазарджик","myzhe",59.2,"2013"
"Пловдив","myzhe",63.1,"2013"
"Смолян","myzhe",58.2,"2013"
"Хасково","myzhe",60.8,"2013"
"Общо","zheni",56.8,"2013"
"Северозападен","zheni",53.1,"2013"
"Видин","zheni",53.2,"2013"
"Враца","zheni",50.6,"2013"
"Ловеч","zheni",52.1,"2013"
"Монтана","zheni",51.3,"2013"
"Плевен","zheni",56.2,"2013"
"Северен централен","zheni",52.3,"2013"
"Велико Търново","zheni",52.1,"2013"
"Габрово","zheni",62.8,"2013"
"Разград","zheni",46.7,"2013"
"Русе","zheni",55.3,"2013"
"Силистра","zheni",42.4,"2013"
"Североизточен","zheni",52.7,"2013"
"Варна","zheni",52.6,"2013"
"Добрич","zheni",57.2,"2013"
"Търговище","zheni",46.2,"2013"
"Шумен","zheni",52.5,"2013"
"Югоизточен","zheni",53.4,"2013"
"Бургас","zheni",54.3,"2013"
"Сливен","zheni",48.5,"2013"
"Стара Загора","zheni",53.4,"2013"
"Ямбол","zheni",57.6,"2013"
"Югозападен","zheni",62.8,"2013"
"Благоевград","zheni",62.9,"2013"
"Кюстендил","zheni",59.2,"2013"
"Перник","zheni",58.2,"2013"
"София","zheni",53.7,"2013"
"София (столица)","zheni",64.9,"2013"
"Южен централен","zheni",57.5,"2013"
"Кърджали","zheni",58.2,"2013"
"Пазарджик","zheni",52.7,"2013"
"Пловдив","zheni",59.2,"2013"
"Смолян","zheni",60.4,"2013"
